PopName,Year,Age,Area1,Area2,Sex,RefCode,Access,Type,Value,NoteCode1,NoteCode2,NoteCode3,LDB
TWN,1992,.,10,20,m,5,O,Rb,1.001976496,.,.,.,1
TWN,1992,.,10,20,f,5,O,Rb,1.002107647,.,.,.,1
TWN,1992,0,10,20,m,50,O,Vx,1.002343944,.,.,.,1
TWN,1992,1,10,20,m,50,O,Vx,1.002205596,.,.,.,1
TWN,1992,2,10,20,m,50,O,Vx,1.002520109,.,.,.,1
TWN,1992,3,10,20,m,50,O,Vx,1.002675326,.,.,.,1
TWN,1992,4,10,20,m,50,O,Vx,1.002849159,.,.,.,1
TWN,1992,5,10,20,m,50,O,Vx,1.002968038,.,.,.,1
TWN,1992,6,10,20,m,50,O,Vx,1.002968038,.,.,.,1
TWN,1992,7,10,20,m,50,O,Vx,1.002968038,.,.,.,1
TWN,1992,8,10,20,m,50,O,Vx,1.002968038,.,.,.,1
TWN,1992,9,10,20,m,50,O,Vx,1.002968038,.,.,.,1
TWN,1992,10,10,20,m,50,O,Vx,1.002836369,.,.,.,1
TWN,1992,11,10,20,m,50,O,Vx,1.002836369,.,.,.,1
TWN,1992,12,10,20,m,50,O,Vx,1.002836369,.,.,.,1
TWN,1992,13,10,20,m,50,O,Vx,1.002836369,.,.,.,1
TWN,1992,14,10,20,m,50,O,Vx,1.002836369,.,.,.,1
TWN,1992,15,10,20,m,50,O,Vx,1.003192512,.,.,.,1
TWN,1992,16,10,20,m,50,O,Vx,1.003192512,.,.,.,1
TWN,1992,17,10,20,m,50,O,Vx,1.003192512,.,.,.,1
TWN,1992,18,10,20,m,50,O,Vx,1.003192512,.,.,.,1
TWN,1992,19,10,20,m,50,O,Vx,1.003192512,.,.,.,1
TWN,1992,20,10,20,m,50,O,Vx,1.001928016,.,.,.,1
TWN,1992,21,10,20,m,50,O,Vx,1.001928016,.,.,.,1
TWN,1992,22,10,20,m,50,O,Vx,1.001928016,.,.,.,1
TWN,1992,23,10,20,m,50,O,Vx,1.001928016,.,.,.,1
TWN,1992,24,10,20,m,50,O,Vx,1.001928016,.,.,.,1
TWN,1992,25,10,20,m,50,O,Vx,1.001743740,.,.,.,1
TWN,1992,26,10,20,m,50,O,Vx,1.001743740,.,.,.,1
TWN,1992,27,10,20,m,50,O,Vx,1.001743740,.,.,.,1
TWN,1992,28,10,20,m,50,O,Vx,1.001743740,.,.,.,1
TWN,1992,29,10,20,m,50,O,Vx,1.001743740,.,.,.,1
TWN,1992,30,10,20,m,50,O,Vx,1.001627659,.,.,.,1
TWN,1992,31,10,20,m,50,O,Vx,1.001627659,.,.,.,1
TWN,1992,32,10,20,m,50,O,Vx,1.001627659,.,.,.,1
TWN,1992,33,10,20,m,50,O,Vx,1.001627659,.,.,.,1
TWN,1992,34,10,20,m,50,O,Vx,1.001627659,.,.,.,1
TWN,1992,35,10,20,m,50,O,Vx,1.001697547,.,.,.,1
TWN,1992,36,10,20,m,50,O,Vx,1.001697547,.,.,.,1
TWN,1992,37,10,20,m,50,O,Vx,1.001697547,.,.,.,1
TWN,1992,38,10,20,m,50,O,Vx,1.001697547,.,.,.,1
TWN,1992,39,10,20,m,50,O,Vx,1.001697547,.,.,.,1
TWN,1992,40,10,20,m,50,O,Vx,1.001743025,.,.,.,1
TWN,1992,41,10,20,m,50,O,Vx,1.001743025,.,.,.,1
TWN,1992,42,10,20,m,50,O,Vx,1.001743025,.,.,.,1
TWN,1992,43,10,20,m,50,O,Vx,1.001743025,.,.,.,1
TWN,1992,44,10,20,m,50,O,Vx,1.001743025,.,.,.,1
TWN,1992,45,10,20,m,50,O,Vx,1.002527460,.,.,.,1
TWN,1992,46,10,20,m,50,O,Vx,1.002527460,.,.,.,1
TWN,1992,47,10,20,m,50,O,Vx,1.002527460,.,.,.,1
TWN,1992,48,10,20,m,50,O,Vx,1.002527460,.,.,.,1
TWN,1992,49,10,20,m,50,O,Vx,1.002527460,.,.,.,1
TWN,1992,50,10,20,m,50,O,Vx,1.003120278,.,.,.,1
TWN,1992,51,10,20,m,50,O,Vx,1.003120278,.,.,.,1
TWN,1992,52,10,20,m,50,O,Vx,1.003120278,.,.,.,1
TWN,1992,53,10,20,m,50,O,Vx,1.003120278,.,.,.,1
TWN,1992,54,10,20,m,50,O,Vx,1.003120278,.,.,.,1
TWN,1992,55,10,20,m,50,O,Vx,1.003783836,.,.,.,1
TWN,1992,56,10,20,m,50,O,Vx,1.003783836,.,.,.,1
TWN,1992,57,10,20,m,50,O,Vx,1.003783836,.,.,.,1
TWN,1992,58,10,20,m,50,O,Vx,1.003783836,.,.,.,1
TWN,1992,59,10,20,m,50,O,Vx,1.003783836,.,.,.,1
TWN,1992,60,10,20,m,50,O,Vx,1.002467376,.,.,.,1
TWN,1992,61,10,20,m,50,O,Vx,1.002467376,.,.,.,1
TWN,1992,62,10,20,m,50,O,Vx,1.002467376,.,.,.,1
TWN,1992,63,10,20,m,50,O,Vx,1.002467376,.,.,.,1
TWN,1992,64,10,20,m,50,O,Vx,1.002467376,.,.,.,1
TWN,1992,65,10,20,m,50,O,Vx,1.002226287,.,.,.,1
TWN,1992,66,10,20,m,50,O,Vx,1.002226287,.,.,.,1
TWN,1992,67,10,20,m,50,O,Vx,1.002226287,.,.,.,1
TWN,1992,68,10,20,m,50,O,Vx,1.002226287,.,.,.,1
TWN,1992,69,10,20,m,50,O,Vx,1.002226287,.,.,.,1
TWN,1992,70,10,20,m,50,O,Vx,1.002656522,.,.,.,1
TWN,1992,71,10,20,m,50,O,Vx,1.002656522,.,.,.,1
TWN,1992,72,10,20,m,50,O,Vx,1.002656522,.,.,.,1
TWN,1992,73,10,20,m,50,O,Vx,1.002656522,.,.,.,1
TWN,1992,74,10,20,m,50,O,Vx,1.002656522,.,.,.,1
TWN,1992,75,10,20,m,50,O,Vx,1.002957641,.,.,.,1
TWN,1992,76,10,20,m,50,O,Vx,1.002957641,.,.,.,1
TWN,1992,77,10,20,m,50,O,Vx,1.002957641,.,.,.,1
TWN,1992,78,10,20,m,50,O,Vx,1.002957641,.,.,.,1
TWN,1992,79,10,20,m,50,O,Vx,1.002957641,.,.,.,1
TWN,1992,80,10,20,m,50,O,Vx,1.003926623,.,.,.,1
TWN,1992,81,10,20,m,50,O,Vx,1.003926623,.,.,.,1
TWN,1992,82,10,20,m,50,O,Vx,1.003926623,.,.,.,1
TWN,1992,83,10,20,m,50,O,Vx,1.003926623,.,.,.,1
TWN,1992,84,10,20,m,50,O,Vx,1.003926623,.,.,.,1
TWN,1992,85,10,20,m,50,O,Vx,1.005889352,.,.,.,1
TWN,1992,86,10,20,m,50,O,Vx,1.005889352,.,.,.,1
TWN,1992,87,10,20,m,50,O,Vx,1.005889352,.,.,.,1
TWN,1992,88,10,20,m,50,O,Vx,1.005889352,.,.,.,1
TWN,1992,89,10,20,m,50,O,Vx,1.005889352,.,.,.,1
TWN,1992,90,10,20,m,50,O,Vx,1.011432741,.,.,.,1
TWN,1992,0,10,20,f,50,O,Vx,1.002108241,.,.,.,1
TWN,1992,1,10,20,f,50,O,Vx,1.002312766,.,.,.,1
TWN,1992,2,10,20,f,50,O,Vx,1.002406581,.,.,.,1
TWN,1992,3,10,20,f,50,O,Vx,1.002730986,.,.,.,1
TWN,1992,4,10,20,f,50,O,Vx,1.002864522,.,.,.,1
TWN,1992,5,10,20,f,50,O,Vx,1.002966962,.,.,.,1
TWN,1992,6,10,20,f,50,O,Vx,1.002966962,.,.,.,1
TWN,1992,7,10,20,f,50,O,Vx,1.002966962,.,.,.,1
TWN,1992,8,10,20,f,50,O,Vx,1.002966962,.,.,.,1
TWN,1992,9,10,20,f,50,O,Vx,1.002966962,.,.,.,1
TWN,1992,10,10,20,f,50,O,Vx,1.003019787,.,.,.,1
TWN,1992,11,10,20,f,50,O,Vx,1.003019787,.,.,.,1
TWN,1992,12,10,20,f,50,O,Vx,1.003019787,.,.,.,1
